Gene_ID	TCGA.BH.A18N	TCGA.BH.A18Q	TCGA.BH.A18U	TCGA.C8.A12L	TCGA.C8.A12T	TCGA.C8.A12U	TCGA.C8.A12V	TCGA.C8.A12Z	TCGA.C8.A130	TCGA.C8.A131	TCGA.C8.A134	TCGA.C8.A135	TCGA.C8.A138	TCGA.D8.A142	TCGA.E2.A154	TCGA.E2.A158	TCGA.E2.A15A
A1BG	0.108261139687	0.0773744834773	0.198498440224	-0.251969035067	0.317522293067	-0.0897669751158	0.516342741759	1.0633046725	0.0994645124931	-0.0959234538774	0.041288187157	0.608158715376	-0.541178773115	0.475355616386	0.423124907777	-1.00997122334	-0.359274482165
A2M	-0.373012972771	-0.0258774329645	-0.0155253172502	-0.313804747334	-0.0142757411057	0.108038317746	1.23070016328	0.932320354675	-0.52492680698	0.342540357155	0.173643513879	0.372972255258	-0.568550473865	0.168464352176	0.160384504569	-1.13551427122	-0.087157232211
A2ML1	-0.890100718099	0.743419472386	-0.794533625486	2.30753895081	-1.71109891912	-0.700423428063	-0.157447441461	-1.21733949453	-0.569777434441	0.873809260313	0.713242166486	0.515384222175	-0.469901494327	NA	-1.90586320713	2.52960020659	0.182104064225
AAAS	0.22339974696	0.251283127014	0.0237747225307	0.321861783934	0.163323650925	-0.136522921204	0.101016674919	1.00503919057	-0.0402686805189	-0.0545685792149	0.0286318729099	0.0534724114907	-0.057173769972	0.114708786542	0.301349246814	0.283357143319	0.0165178620488
AACS	-0.486458613629	-0.383962229698	-0.226923142991	0.428840505072	-0.133201515023	-0.0489951325716	-0.0394075365029	0.00715643555165	-0.375802175421	0.103925434997	-0.0786004886104	0.00305245170942	0.281695453209	0.0850861569372	-0.42819759314	-0.470231767957	-0.000937063556364
AADAT	NA	NA	0.143003672187	0.861602234873	NA	-1.28826046687	NA	NA	NA	NA	NA	1.55101369608	NA	NA	NA	0.45781920616	0.233150211237
AAED1	0.15521517044	-0.078164896142	0.367743009211	-0.0628660105734	-0.479288597448	-0.10723138049	-0.122436998277	0.391316482836	0.0293663759323	NA	NA	NA	0.0315364528469	0.701286664634	-0.424171783269	-0.352516767553	-0.151302070055
AAGAB	0.366347416817	-0.343610022432	0.237428284996	-0.196619794492	0.473360483403	0.107285675196	-0.491059667161	0.47579625024	0.18606958481	-0.433193867864	0.168644102901	-0.496748076076	0.0305738910444	-0.359862792511	0.142782838201	-0.540895304917	0.515666480634
AAK1	0.289384788573	0.151394135963	0.171859416932	-0.135496824474	0.0428061867072	-0.127391423623	0.132839339179	0.473483975481	0.172060516267	0.249852275678	0.410652320643	0.128579631425	-0.0532982350449	0.390626253182	0.192076726716	0.214308754814	0.0255878771983
AAMDC	-0.0181459045558	-0.428430361046	-0.452616625747	0.151228959926	-0.250310451611	-0.780575615068	-0.634479230008	-0.991944233416	0.0919317306437	-0.247397932597	-0.306829340157	-0.625497971027	-0.159743369901	0.0962992601116	0.0486609959049	0.47780584062	0.625238258314
AAMP	-0.163458763646	-0.222012336214	0.14367025847	-0.457282625598	0.300366334182	0.414731503093	-0.177945055399	0.829006689318	0.0724948989995	-0.0944710747469	0.338400371981	0.417346877184	0.332975198842	-0.259074183667	0.0472984369008	-0.358129067658	0.221617160989
AAR2	0.457713660672	0.0408649405546	0.283473154029	0.11644733424	0.31137850389	0.265075913616	0.289842602772	0.265334132589	0.107225766581	-0.0236129420459	-0.174463906724	0.0846888607003	0.289531654066	0.137783830701	0.228890294853	-0.452903186016	0.191705330512
AARS	-0.142587531285	0.37544994798	0.161571195502	0.106789674032	0.362593878611	0.0042430244024	-0.149840972907	-0.119215442642	0.044864475628	-0.110922754786	0.423453560075	0.129460984498	-0.309601703177	0.133370127461	-0.218248692231	0.0772235737346	0.140197501273
AARS2	0.263412950862	0.299004522451	-0.145668165036	-0.225628809856	0.00643201300854	-0.114776182919	0.174937589246	0.137329704636	0.0151578480791	-0.138462248431	0.303334163808	0.0198816575336	0.0471509656737	0.604187227994	0.208509837024	0.531427687151	0.0111678431166
AARSD1	0.231104556976	-0.274632121294	0.00575561405163	0.132809327499	0.0723504845963	-0.277834666099	-0.188411104783	0.066307906515	0.307980925025	-0.0166911969011	-0.283539900596	-0.0425392565974	-0.166817029732	0.0776782034047	-0.0632649201398	-0.603915791184	-0.443724590297
AASDHPPT	0.207430110098	0.171086832394	0.749766140363	0.406375290804	0.137248064913	0.0408008933951	-0.0618676275716	0.694207447932	-0.362972079516	-0.0575320862232	0.180948240131	0.315778669305	0.0131356647579	0.201343520266	0.41254718496	0.0977377317932	0.331916724799
AASS	1.38321633727	0.200188188485	0.181282855348	-0.25083622962	0.143413486046	-0.237409865627	0.885712613914	0.615931555886	-0.390000608162	-0.13049852493	-0.392416585416	0.400415096016	-0.348354255104	-0.0327111654921	0.477506246895	-0.384990328062	-0.0879382819043
AATF	-0.158136229185	0.0239687747823	0.20764337178	0.408519407969	0.277820707101	-0.366025262084	0.38137670624	0.67107487029	0.543185030117	-0.43676810012	-0.331562939186	0.410811984385	-0.466948375446	0.283489763456	0.0904896305294	0.71380797428	0.0588386723938
ABAT	1.56007174389	-0.893076792226	-0.53552722411	-1.96515880171	0.103087806637	0.62849650693	-1.09740110552	-0.415542172958	-1.05107227346	-0.840737615652	-1.48315756856	-0.68258762162	0.102903166306	-1.05376964836	1.53014006363	-1.80097631753	-0.748354455702
ABCA1	-0.285072213842	0.261855552345	-0.157694503355	0.0227153469733	NA	-0.239943096383	-1.05437101744	0.707449028511	0.464260582478	0.778472260575	NA	-0.203357807379	NA	-0.270197374287	NA	-0.209623214826	-0.00964568887385
ABCA12	NA	NA	NA	0.603453671133	NA	0.532665842301	0.741381582845	NA	NA	-0.0693290228229	0.0174491283804	NA	0.520956220882	-0.55302404629	-0.00152878281597	NA	NA
ABCA2	NA	-0.412988284378	-0.584432009027	0.0724554226875	0.548118895448	0.0506996419063	-0.226240988936	-0.989740005252	-0.245230251721	0.958799435084	NA	-0.284237229778	0.644770202447	0.315387927476	-0.798098016023	0.0891099390024	0.0498113406635
ABCA3	0.0342938159254	0.0787833652393	NA	0.0186643926194	NA	-0.40918479441	-0.430834455834	NA	-0.389207722535	0.0162927307957	-1.0475650205	-0.45523743182	-0.0742807961039	0.0535268403266	0.47844727936	-0.280930276726	-0.333220027736
ABCA8	NA	NA	NA	-0.641664400493	NA	1.38011855953	NA	0.791814245402	NA	NA	NA	NA	-0.0580596404681	-0.358949420092	-0.638918830178	NA	NA
ABCB10	-0.064208790053	0.569281497328	-0.255594002981	0.140469581341	-0.137521737752	-0.159753729743	0.251715947921	-0.285408802851	-0.178090574777	-0.070218581545	-0.025266212957	-0.130974850898	-0.0564006952961	-0.177494355754	-0.0320906994707	0.232282797383	0.0225657139242
ABCB6	-0.337624241218	-0.423466111021	-0.174642963498	0.450965297294	-1.04237233043	0.329163208113	0.0183189977884	-1.12474783839	-0.282347593531	-0.0510998559197	-0.292125096743	-0.234681232017	-0.588389685132	-0.0182094177667	-0.0310838106354	-0.0676847233772	-0.163222934692
ABCB7	0.456203638954	-0.458820752234	-0.46668204039	-0.219128906911	-0.436370697791	0.291020548254	0.0462643288443	0.184286509273	-0.49366076724	-0.568487081162	-0.524489648512	-0.632821089608	0.463062649368	-0.234502026722	-0.278297096365	0.268598355923	0.0411278748786
ABCB8	-0.0303420162733	-0.346632042906	-0.566021387792	-0.522154528341	NA	-0.262016145336	0.169861305267	NA	-0.123151391389	0.185550330775	-0.142511303517	-0.205012838415	0.367998218053	0.745892146743	-0.30415221673	0.206676953749	-0.0622035836284
ABCC1	0.720286701215	-0.00601749531605	-0.234075076351	0.702290819185	-0.846886197047	-0.124647496877	0.272053489574	-0.407636908379	-0.111690651187	0.128226445819	0.566529217209	-0.0560415160647	0.402193674629	-0.73597118827	-0.822402396859	1.13951644371	0.0147672085557
ABCC10	-0.269690249002	-0.201826657185	NA	0.332041802463	0.347590471353	-0.61269748434	0.641717222738	-0.791099206134	0.0644266856792	-0.664710120217	0.460408780641	0.0718548745825	0.619197036438	0.362246221784	-0.193784991353	0.661875097847	-0.130656246438
ABCC11	NA	NA	NA	0.0620092048548	NA	-0.308655508082	-0.558899561752	0.0678936975064	NA	-0.210267681484	-0.242062873189	NA	-0.0585007766268	0.00586421267766	-0.0490487280054	NA	NA
ABCC3	0.00202107045076	-0.8777638608	-0.589447792261	0.23503568317	-1.40709449245	-0.461617603277	-0.269966561761	0.0444666250527	-0.943883184175	0.635320621153	-0.244372195723	0.56089593471	NA	-2.0043346632	NA	-0.861189047438	-0.307762895736
ABCC4	NA	0.0340464709172	-0.103844935587	-0.2115935769	NA	-0.471855487533	0.50938106602	0.267099661877	-0.469857964111	0.0851004992827	NA	-0.155538462944	-0.142969226745	NA	-0.186228183437	-0.249812250375	-0.352273447901
ABCC5	NA	-0.882519429768	NA	NA	NA	NA	-0.124946547638	-0.696687392346	-0.211726490447	NA	NA	NA	1.14159821755	-1.17957119855	-1.23440499587	0.476270995199	0.401247847237
